state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,SC workers against active workers,ST workers against active workers,Approved Labour Budget,Persondays of Central Liability so far,SC persondays,ST persondays,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,% of NRM Expenditure(Public + Individual),% of Category B Works,% of Expenditure on Agriculture & Agriculture Allied Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
ASSAM,LOWER DIBRUGARH,253168,456097,44176,97706,17503,35471,1685347,183622,6543,152943,264436,31,255.35051,11,50976,85503,119,0,7991,48934,5277,2.63134,87,20.6025,4824.77692,5035.86722,333.98038,0.0
UTTAR PRADESH,GHAZIPUR 10473,143202,126857,96373,297287,44133,1371,951805,4693910,2254425,355,1473795,33,249.05783,0,69261,75814,185,3,29693,16747,6286,33.22385,46,68.68908,1187.71518,6510.29733,7482.1305,89.7909
BIHAR,GAYA 10862,317763,610515,381949,320761,19060,2168,1602942,1815871,435567,303205,971978,33,250.55578,135,31558,121580,164,0,13829,34481,8408,10.57554,78,53.40384,8154.00902,5707.39687,4832.01847,76.49951
JAMMU AND KASHMIR,BANDIPORA 10195,65576,104998,41162,167209,2374,55609,162327,108834,641,9209,50107,24,287.39645,0,3620,7587,52,47,10550,17009,394,4.59567,70,15.35078,2671.68817,895.25711,1581.09139,9.29311
MADHYA PRADESH,DAMOH 10244,227851,404203,186297,289056,15269,206811,6832586,1925950,76788,102465,316207,29,200.91286,180,72830,45767,723,4,29260,10019,7117,48.04793,80,23.50862,3048.88025,6881.27687,1918.37209,523.27309
ANDHRA PRADESH,KAKINADA 10019,256219,339957,169808,407691,39331,5904,7887204,6726602,3833589,45290,9660208,37,274.30007,1873,162091,300528,2158,1,50062,61805,2976,67.38349,31,70.31213,31321.59371,12303.62056,5791.02495,407.7421
MIZORAM,CENTRAL SAITUAL,15894,8724,21969,21554,2,17793,1480900,1159636,54,239506,589956,49,313.8069,0,15245,21622,2,0,1676,1487,182,17.00529,60,83.39736,3711.91523,811.85679,660.20111,23.78308
MEGHALAYA,EASTERN WEST KHASI HILLS 10084,57364,51509,16289,250127,45,149471,1656808,949047,686,381895,530502,32,233.65953,0,22199,16416,85,132,5663,8697,458,20.66862,16,33.86151,2332.16204,2409.42748,1364.05935,96.4664
TAMIL NADU,SOUTH CHENGALPATTU,350767,252406,200940,507117,118927,4566,3670224,2752735,2082294,766046,4275796,28,272.87727,1325,241872,235351,253,0,17814,6118,8682,70.93479,52,38.02251,24585.72403,12440.20663,972.13632,172.95539
MADHYA PRADESH,ASHOK NAGAR 11123,46972,578914,209633,315980,90151,214060,4575834,4211705,177254,8830,900348,34,212.59902,288,57497,116477,156,0,10541,9985,6504,34.18293,70,30.94663,2238.76899,10908.22212,1358.56512,190.51498
MIZORAM,KOLASIB 10076,9780,22103,19477,38697,0,15548,1512392,244604,0,1172557,323231,31,298.20741,0,39850,16487,29,0,1492,148,129,14.51543,75,46.52683,4289.11757,1977.35958,178.34937,32.8807
BIHAR,MUZAFFARPUR 10866,215228,772909,434379,420434,47091,73,2184623,2230229,1192475,50602,1361511,32,224.77191,23,90108,120125,206,0,14219,35583,11723,15.53926,69,50.81387,13708.48408,6570.30755,5538.9077,72.12668
TAMIL NADU,TIRUCHIRAPPALLI 10761,304139,485023,137973,214588,45470,9020,3199064,4371400,2291311,17387,7308158,38,253.04424,869,143308,24597,543,0,16481,6217,1764,86.11671,49,4.11334,11169.94013,22202.6895,1726.99533,376.67824
RAJASTHAN,WEST TONK,307029,767560,101394,667109,222084,118551,4818729,3724496,3234585,52923,5413615,35,202.44675,132,353502,358570,414,2,10615,9565,39280,54.13635,71,29.31361,7313.24991,30797.34385,644.23314,113.666
ANDAMAN AND NICOBAR,NICOBARS 10070,15077,32071,1048,4809,0,0,72807,29842,0,4057,3365,20,99.36487,0,171,187,5,3,426,157,208,94.81959,45,4.68444,5.57373,5.60015,1.41178,2.46155
TELANGANA,Jogulamba Gadwal 10442,209205,235290,114341,296649,39035,19753,1844952,1849009,10677,253730,1598427,37,159.6219,207,1789,177403,592,0,13625,10930,1251,51.04245,32,17.11817,15048.82073,4359.76372,3198.53651,374.36282
ANDHRA PRADESH,EAST GODAVARI 10378,284734,275290,131750,396229,171577,26136,8898488,10116607,1516097,614409,4523006,43,245.0751,7227,133018,38191,2454,1,67592,48669,9973,50.88742,73,30.10353,41967.17826,28655.2495,9360.04043,565.30198
MADHYA PRADESH,BALAGHAT 10126,103724,501061,34583,64313,47560,6221,3680447,1805421,625143,2193336,623446,25,214.6465,455,48596,249304,3385,0,10107,19297,2370,76.01866,74,37.41262,2271.50794,8030.22264,2309.11248,161.36029
CHHATTISGARH,DURG 10448,156178,151239,68086,272359,8611,103572,3414113,537294,459420,872492,1070304,25,243.31624,1091,100517,230934,121,0,21607,3212,3193,40.94188,58,22.74408,2871.78269,1125.78653,1673.6409,172.03112
WEST BENGAL,BANKURA NAGAR,431628,2096954,274930,837619,620211,34485,0,14,6159,44,0,0,251.10863,0,14,0,0,195,97297,4954,10,0.0,22,0.0,68.0795,0.28502,0.0,410.96196
RAJASTHAN,KOTA 10022,519638,775480,252406,569612,83017,6308,7590216,5392784,407476,395795,598966,36,217.83905,265,306345,295056,275,0,13954,16692,3296,43.62179,76,37.00819,10670.36081,18354.18166,799.83171,43.09559
RAJASTHAN,SIROHI 10366,188083,1283271,99796,214995,267666,109893,2345259,3250427,650092,11763,6822624,28,211.65992,2604,100087,340821,252,0,6760,4910,6812,40.1921,41,32.4132,24730.30581,19372.44884,1392.22635,140.24208
TELANGANA,NEW Rangareddy,133944,268585,81459,397819,34785,66261,1016520,2431201,316692,590437,1263599,35,215.20761,647,131836,163016,1040,0,16260,12331,2380,4.06739,5,68.38659,5608.09633,4607.4245,4248.53858,318.53511
JHARKHAND,LATEHAR 10055,268747,470526,207238,287635,11410,136627,3130314,2722529,147990,493920,1038138,34,280.30285,549,27092,74281,156,0,53977,36069,34724,3.64169,102,94.39075,8467.11653,7937.95956,1161.50462,68.51266
ODISHA,LOWER MAYURBHANJ,451730,205167,161157,269061,55786,22692,2375087,1969052,463345,394617,1278383,48,331.10009,368,51827,190870,460,0,8576,49375,1550,21.78953,75,40.86958,5717.458,4779.67239,565.34033,77.99214
JHARKHAND,WEST SINGHBHUM 10511,240057,536120,136927,182747,96290,124255,2522073,1741502,42712,129275,926835,31,274.86307,403,93811,89306,177,0,87714,30676,15640,3.15581,84,96.3569,2725.96145,4784.25226,1515.98881,116.53219
MADHYA PRADESH,GREATER SEHORE,95399,510128,165874,218862,19463,33494,8833961,1730747,50515,1333258,273119,34,207.31343,75,43475,19150,198,2,25631,25031,1955,27.92756,63,28.96104,11501.9738,7218.75169,2126.27542,162.68147
ARUNACHAL PRADESH,SOUTH WEST KAMENG,4924,27699,16129,7355,1,38571,582180,56896,0,2833,127851,24,236.89108,0,5284,696,0,14,75,52,12,0.0,8,21.26169,185.86323,1015.26814,0.89649,2.26801
KARNATAKA,Yadgir 10124,293028,1565871,231031,371047,88475,20938,1904037,504842,254076,1121797,539114,25,336.54885,205,36293,158399,426,0,41573,30971,42576,68.51752,85,41.71531,6212.1473,2869.92089,0.0,139.26446
BIHAR,MADHEPURA 10809,457101,599743,223997,295251,46463,947,7213668,1953280,675276,141242,759004,29,245.88633,179,62883,152419,62,0,15641,10180,3406,10.41836,91,65.40655,12014.29337,5031.97449,4445.04927,80.9613
MIZORAM,AIZAWL 10260,7057,11277,14562,9383,3,37053,3287048,1309669,0,902393,250167,50,321.36124,0,21932,26934,17,0,530,434,1083,8.99289,31,69.75554,5476.29592,2742.95207,178.19784,51.51826
ASSAM,WEST KARBI ANGLONG 10092,126220,489198,117154,317328,8717,14642,1994404,528966,6238,265420,917291,37,244.56753,45,7183,64169,22,0,29715,45994,15135,8.4778,103,27.71383,3998.37139,7015.2102,322.19508,0.0
MIZORAM,NEW AIZAWL,39133,39028,8208,17000,7,22777,1413150,1069550,0,937622,240306,36,281.41077,0,18246,36277,2,0,1648,106,486,9.45156,61,77.66324,3321.60443,2884.54249,650.79613,80.82011
MADHYA PRADESH,RATLAM 10678,139001,523109,159658,161354,34062,224293,3873211,741495,325540,1589,106134,33,212.54956,243,69815,62816,437,4,19817,14633,6436,51.19219,78,24.49084,5417.69939,7178.90508,672.38676,256.31406
HARYANA,SIRSA 10319,62999,111153,18640,90618,34293,0,1620428,506962,488693,0,108125,26,336.18943,27,6589,1020,53,18,859,1173,56,23.47328,5,61.32372,200.27276,93.23691,1322.21107,1.17511
ASSAM,DIBRUGARH 10858,142387,268821,33471,410408,9883,137378,599891,2188607,55844,96994,321509,25,246.01589,247,63450,55845,22,0,43001,4925,6929,4.90959,88,9.17816,2483.01319,2025.65478,212.96237,0.0
ASSAM,CACHAR 10681,238733,432259,51913,141867,9685,12121,2542165,1963593,143177,397108,527757,29,253.79416,50,51318,69853,5,0,7251,47015,3345,7.6071,105,32.55012,1925.11662,7050.70023,343.30518,0.0
WEST BENGAL,BANKURA 10221,391440,93212,880782,724591,5886,19563,0,3670,0,0,805,0,474.77735,0,2,56,0,58,35968,2401,3,0.0,79,7.25523,427.90066,0.08214,0.0,669.80597
TELANGANA,URBAN Kumram Bheem(Asifabad),117382,551343,81080,285289,51198,4923,2152371,4049705,797245,936634,1223918,38,218.21629,1253,87160,73062,866,0,24095,22026,2485,41.89613,5,66.24166,12608.10454,6939.33239,5815.56371,336.14608
MAHARASHTRA,AHMEDNAGAR 10482,388615,656573,27663,467713,1976,30169,7366004,3670438,405203,390,78218,27,270.18489,757,25569,143867,71,248,41697,15761,1754,3.5091,88,57.18404,12728.94488,1385.73148,2031.13575,8.7439
MIZORAM,OLD AIZAWL,18925,6583,27125,37178,6,39497,2978532,663219,0,839627,466857,40,298.85227,0,14895,7115,1,0,1919,1571,1216,1.27522,26,69.14009,2057.72823,2629.09788,497.74914,130.59771
ASSAM,URBAN KARBI ANGLONG,168428,97423,24858,275576,6466,14501,2213705,1778080,78856,68779,908998,23,246.38912,63,77728,73899,94,0,18364,43759,5016,3.008,88,4.47526,552.21302,2564.80276,317.69373,0.0
UTTARAKHAND,DEHRADUN 10272,81828,149139,130110,136365,17524,369,1014175,296081,90965,11687,246472,33,235.09994,42,9124,13297,63,5,15701,4885,2033,15.28228,44,45.81862,2787.95878,1651.75005,448.78297,37.1615
UTTAR PRADESH,KANPUR NAGAR 10187,340857,815481,204015,37557,75987,1074,56818,2519458,399417,1934,841488,33,221.73767,759,195393,28710,316,0,10191,39449,2362,6.70218,45,48.28644,3905.72219,7682.58327,1838.3082,75.90015
TAMIL NADU,GREATER ERODE,499776,472080,149542,731701,77986,305,13021744,16134459,1477533,895,1265533,34,240.57261,94,106749,119495,441,0,6509,3448,14980,66.36133,58,30.87136,27411.86432,24214.05213,977.99787,420.35098
BIHAR,DARBHANGA 10892,131687,967441,326978,156900,50154,895,5560531,3067175,196116,54380,1141313,32,230.66695,212,114101,32282,118,3,31105,72203,4766,21.51103,67,47.7038,12490.37883,17299.73646,2853.76743,88.10492
KERALA,EAST THRISSUR,294209,284706,132793,155307,8639,2093,3546292,1700669,844398,257708,3536740,28,379.84336,86,68006,135367,269,0,22296,11097,5367,43.43422,35,32.42239,15483.84772,9555.32987,591.04923,31.86686
RAJASTHAN,BHARATPUR 10265,207435,378347,394321,483819,129258,114359,10814200,2650866,1351876,23614,10354580,26,275.41923,967,128415,305957,257,0,5682,11283,642,24.88287,70,10.43217,30700.43594,9393.90466,1418.18636,105.98239
JHARKHAND,PALAMU 10565,280826,174618,189264,173676,27650,40307,6996842,2000739,610268,1144332,1529086,29,246.67579,785,144169,26412,156,2,51744,20347,16572,2.05785,100,86.59149,10076.61312,4932.52818,1665.78801,145.82035
HARYANA,PALWAL 10230,108866,175186,37425,142573,52783,0,1237549,56409,100630,0,124433,15,416.25316,2,5875,15558,0,47,424,2016,382,22.61634,17,31.18677,9.68902,10.39292,6.92951,8.63705
ARUNACHAL PRADESH,WEST KAMENG 10013,10434,44045,26452,6501,1,8153,143643,147683,55,79680,18217,34,392.00997,0,590,5629,16,4,192,96,1,0.0,0,35.33016,323.92495,206.46613,61.43147,10.41261
MAHARASHTRA,EAST WARDHA,162624,1131959,37350,492451,1942,1289,549628,436854,284769,203598,1469700,31,290.94615,79,118508,129501,303,13,23629,37738,1548,0.80422,86,22.4196,813.09124,5462.86499,531.17483,29.17183
MADHYA PRADESH,CHHINDWARA 11011,300383,502087,89364,509278,37865,285661,6143100,3499736,316576,7865,653363,28,226.97905,147,22158,82125,422,4,31025,17230,13748,45.24799,69,22.04384,15101.68918,4175.70111,4817.97005,171.09672
BIHAR,NORTH PATNA,411873,196324,94035,386597,82568,3424,8105803,4932908,298153,34701,523554,35,250.71839,149,94917,59097,144,0,15605,21555,9616,9.97098,59,38.96739,16143.68144,6377.37821,3902.56454,94.47357
TELANGANA,Narayanpet 10531,200638,275376,111532,182216,38677,9447,1808387,3537882,288250,1429326,797661,44,165.5958,126,78685,114417,1144,0,11026,10295,747,50.92128,15,58.35385,6037.05063,9438.23332,2603.94917,428.122
MADHYA PRADESH,RATLAM 11054,156354,546567,101556,409705,19970,43847,4067883,4438734,234726,131451,694192,34,211.45362,97,60118,167855,158,0,28437,19383,11487,35.68463,64,27.36197,8566.8837,5062.70552,366.30861,284.63448
HARYANA,ROHTAK 10298,56341,16889,56252,17304,9596,0,133757,837653,200496,0,328632,14,340.53993,0,806,11218,1,6,3773,1757,4,27.93122,1,60.88228,4178.75112,967.10578,44.03235,12.09965
WEST BENGAL,PURBA BARDHAMAN 10489,489626,2573315,532270,763848,157570,85565,0,1418,0,237,41026,0,273.79146,0,94,0,24,62,2358,24418,297,4.4294,48,0.0,472.25883,0.0,0.0,0.0
JHARKHAND,WEST SARAIKELA KHARSAWAN,259969,565130,107171,290874,12410,124483,3143481,1603527,36767,347224,378767,39,255.22595,912,21368,33230,214,3,83214,32403,12485,5.02243,104,71.36421,11692.0995,2984.57445,2268.56648,90.55648
TELANGANA,Sangareddy 10691,120623,531049,92174,308042,54333,47271,1888821,37728,435466,247697,1052565,37,154.24423,169,56524,119770,930,0,17729,13151,2756,38.61309,16,24.12195,4780.20602,7456.85955,4256.87341,539.39779
ASSAM,BAKSA 10029,396351,323326,156811,190725,8222,2649,1338137,480439,28547,11407,1072590,35,248.93927,27,68907,149371,2,1,19903,38347,10751,3.22535,88,28.33972,10841.09567,3814.53685,37.74886,0.0
BIHAR,SAHARSA 10011,978951,166360,192473,118173,180512,3327,2751313,2806228,507248,55004,1368128,37,241.25935,164,113226,49382,221,0,116224,29273,15155,27.36552,67,35.5002,10182.45872,5263.1271,2956.82104,101.41277
RAJASTHAN,RURAL KOTA,641696,327676,152439,198194,84034,1492,2996271,13918570,824137,529157,3120778,41,225.64092,1119,164299,45582,329,0,16159,30490,8292,54.55001,45,24.46551,17269.74978,10268.70398,1246.24722,43.6303
CHHATTISGARH,RAJNANDAGON 10136,40202,112710,112108,246765,10894,21362,4163777,2142408,233065,1012542,242476,35,169.79954,288,17627,120547,1949,1,15545,12137,3707,14.24547,47,42.8555,9636.64571,4829.67205,3394.71567,140.09
ANDHRA PRADESH,ANNAMAYYA 10413,272429,371014,267953,231856,73425,428005,6259060,7115265,1382261,75336,5995262,49,241.4836,1838,182143,287606,2290,6,41151,27131,9716,53.83323,47,67.50838,18202.82381,12277.39308,3878.37773,537.98002
TELANGANA,Nagarkurnool 10393,114570,313690,77119,290866,61589,27505,3010821,4789390,489655,97034,868426,28,202.47544,426,96379,51017,1128,0,17058,16408,6471,14.61969,40,56.42116,12714.81893,6266.23879,3870.5133,181.0591
ODISHA,JAGATSINGHAPUR 10366,195713,356640,148865,357346,111608,115986,7103216,5774846,185640,4832,913741,35,258.38435,384,123402,169801,65,0,31902,15898,759,51.37236,52,36.33937,10174.03181,3563.42098,547.0009,105.36265
TRIPURA,NORTH TRIPURA 10026,97661,129411,96599,133853,21033,44476,2032464,2362462,324708,563370,937707,37,206.3537,85,54677,69790,798,0,23320,14148,14705,10.51957,73,50.57622,7511.00539,3532.95704,1079.87904,249.63608
UTTAR PRADESH,CHITRAKOOT 11118,311052,425450,300715,223416,77327,310,1371787,6016936,1524399,1831,1186191,37,244.43527,1933,10513,72615,71,2,23588,18797,9299,29.23133,42,30.36676,6142.86597,2860.57681,4616.28888,173.09775
HARYANA,AMBALA ABAD,37706,207661,3599,16757,50374,0,367237,282609,187073,0,4666,24,377.9931,1,1202,9179,0,55,1569,2991,0,8.60048,29,59.39193,207.87995,50.37912,24.18463,3.54653
TAMIL NADU,THANJAVUR 10201,160999,299863,218008,544001,299044,2415,4449764,4272724,2904810,427648,3298927,35,267.60242,623,252655,277490,2444,0,32461,7016,4187,63.28141,66,42.18422,29892.05956,4245.7586,2532.22891,221.61292
WEST BENGAL,CENTRAL Darjeeling Gorkha Hill Council (DGHC),747989,1356621,613670,484992,585753,19048,0,0,795,0,1053,14,831.68368,0,0,0,0,199,28314,25265,23,0.04836,19,21.18278,0.0,7.50756,0.0,368.07151
ASSAM,GOLAGHAT 10119,168194,271000,175467,215390,15849,134861,2418296,592251,131861,159054,1064866,30,260.95446,3,113161,33173,208,0,57071,14441,19612,4.19468,101,13.00565,3259.14161,444.192,0.0,0.0
MANIPUR,LOWER KAKCHING,47623,30482,25545,18698,1,18415,1809018,131331,24,36554,3859,16,934.66228,0,18271,5674,16,11,434,898,0,11.88058,0,24.51304,4390.03172,469.76832,152.5359,9.75747
NAGALAND,UPPER ZUNHEBOTO,56022,163735,70404,54405,0,41171,667234,1747032,0,1655568,517217,31,224.954,11,50371,51004,129,2,1362,1228,98,31.46238,2,60.80202,4645.35922,2871.0253,651.78035,53.96646
UTTAR PRADESH,SONBHADRA 10022,145265,32855,289371,136841,70311,589,2344729,1424311,432774,5032,335274,32,250.05743,394,68652,85259,91,5,48777,20551,4985,25.29619,43,40.15613,4133.13778,6917.84458,4512.82304,193.96455
BIHAR,CENTRAL BHAGALPUR,429890,788918,447546,304457,116871,3635,3846093,1871453,280013,11887,677439,33,245.58002,537,70999,77468,129,3,11052,4160,11231,8.35576,68,40.68982,10667.90568,10692.96115,3814.71248,83.23082
HARYANA,REWARI 10121,46853,54460,25733,20125,89454,0,405473,109554,308053,0,112480,18,394.35712,0,3190,26800,1,105,2489,50,338,22.99811,22,60.14989,394.12731,1287.13555,652.57059,51.38988
MAHARASHTRA,YAVATMAL 10287,286290,995946,43898,232584,48065,2173,3433739,245478,3726,211685,73974,28,316.90763,217,23736,52970,308,20,47418,14824,1844,19.6342,97,26.6757,8148.11922,5391.91738,756.66347,0.0
ODISHA,BOUDH 10020,200254,503128,119587,149049,62395,23776,2510202,1987631,390590,305257,2506717,47,251.77364,547,21077,243195,493,1,23120,13935,676,36.32337,20,52.44165,3060.96946,3039.66908,293.3644,171.97711
WEST BENGAL,URBAN PASCHIM BARDHAMAN,312126,1955376,448118,1071609,146064,59768,0,82404,0,0,0,14,0.0,0,1628,1944,0,65,88820,34491,5,0.0,18,22.59674,430.43315,0.0,0.0,175.24065
ODISHA,NEW NABARANGAPUR,123527,585660,105720,449775,53340,148969,2508319,2477157,290095,2819303,1886187,34,219.25927,9104,87233,74050,146,0,22757,32119,849,22.48516,28,55.36324,7048.78414,7922.5022,857.97572,98.84069
MANIPUR,EAST TAMENGLONG,123288,20470,53594,13492,170,17588,584404,8013,4110,45093,120190,9,2421.99523,0,3698,671,2,0,1650,3680,0,70.25345,0,22.83543,905.80801,50.42968,123.11212,0.78369
PUNJAB,FARIDKOT PUR,99525,183019,59439,61352,85744,67,1604807,960567,352077,586,1270172,23,333.96548,14,11276,60659,171,97,9408,1140,2358,30.04936,35,56.29257,2631.7166,2805.24556,156.41332,0.0
PUNJAB,MOGA 10428,111153,64198,102406,50409,78306,1,1131972,607965,982070,444,326848,21,310.29739,2,33817,55331,30,2,4410,9179,2540,17.38414,24,51.26002,3316.90955,2561.59255,2039.93596,0.0
UTTAR PRADESH,RURAL AMETHI,186593,712991,153270,250580,142625,312,491556,5849789,380949,58884,1216978,39,235.03914,469,1284,86325,265,13,32756,21521,4481,27.13196,51,27.91595,13307.03064,10654.97507,3044.57181,9.3862
BIHAR,SIWAN 10777,132046,247372,208007,394213,61104,818,6019028,1978591,708653,2490,771057,32,219.06173,141,171032,32429,268,5,29695,9143,9515,9.98069,79,42.88857,7802.90691,5779.31658,2453.29266,100.00342
ASSAM,NALBARI 10020,332716,84702,126858,414105,31317,2452,958310,1694327,103887,500497,575041,33,264.99193,107,37407,85329,20,1,18973,26980,6392,2.43854,92,17.3082,4041.22609,414.46966,139.26376,0.0
PUNJAB,BHATINDA 10221,50214,98768,36465,67870,85413,20,567289,569851,569421,0,303300,32,341.19616,16,45762,16425,167,110,10923,2925,2642,25.28846,28,77.11422,1410.35492,3493.35048,351.98111,0.0
BIHAR,BANKA 10860,128276,698304,288685,150834,43032,615,1542360,5054541,456636,39315,1256638,32,262.1361,89,122069,136531,164,10,59204,18849,10418,10.42763,69,71.93773,22992.55659,8316.0973,2971.28068,90.45147
MADHYA PRADESH,CENTRAL UMARIA,45176,520600,65509,80245,14929,9332,2259741,782975,431051,33732,263806,31,200.58517,513,47347,271279,906,0,33245,11828,18381,43.90535,73,30.86958,6644.65835,8307.33523,1161.2918,320.57815
GUJARAT,VADODARA 10594,115501,46921,71357,12759,5217,388051,842423,92795,69112,971962,127529,41,253.54217,46,38219,11997,370,0,6692,3860,504,48.97815,72,4.40669,1002.64072,197.53468,3237.44385,86.24425
ARUNACHAL PRADESH,KAMLE 10394,12066,10761,6637,8880,1,2413,415178,96314,0,203263,42405,16,1109.2904,0,313,4959,0,30,757,355,9,13.35954,0,17.44986,686.99669,443.26867,248.39893,2.65177
MADHYA PRADESH,LOWER DAMOH,225567,525102,156119,81930,10545,39340,1707947,1443995,254295,636637,210066,41,222.00982,503,52783,26574,273,2,10998,10437,7783,44.58449,75,17.53912,2482.48405,3089.0586,594.52675,239.69804
ARUNACHAL PRADESH,WEST KAMENG 10550,8658,7311,8861,10242,1,9862,736598,73845,0,201023,209166,18,475.76902,0,15104,2158,221,4,838,136,31,0.0,0,62.03632,91.62554,444.07882,185.33885,10.53232
ASSAM,GREATER BAKSA,264113,491302,24058,484109,9075,35792,1900157,1581275,129778,501583,824625,33,260.76376,55,67012,75217,298,0,55449,41037,2095,3.13121,92,35.24775,3170.43012,2675.63541,88.92435,0.0
UTTAR PRADESH,SHRAVASTI 11681,160833,230158,78140,248274,262719,963,2011785,2822556,566591,48639,234183,32,208.0217,487,272,136052,107,0,43564,71206,2894,20.34004,54,40.08447,7.97807,5256.5181,2073.26477,0.0
ODISHA,NORTH KORAPUT,101392,367383,456856,243389,19541,134934,2886673,962177,426890,2510016,2419777,35,240.52678,2948,47265,92452,327,0,12870,27616,12845,19.39607,57,53.76232,16369.01334,15819.43052,392.67264,141.80758
WEST BENGAL,Darjeeling Gorkha Hill Council (DGHC) 10157,1395054,89890,156390,738215,85000,17643,0,76420,2326,0,0,0,290.12165,0,80,0,0,63,21795,33390,267,0.02781,60,21.4277,194.93611,29.01205,0.0,678.89381
UTTAR PRADESH,ETAWAH 10507,484910,260941,303963,186819,43706,3142,327465,5383155,854009,47630,818141,27,253.07029,143,34279,128674,148,3,16412,25667,1277,31.23577,55,31.49451,6244.91236,2821.17458,3957.67802,172.16091
BIHAR,NEW JAMUI,132657,199379,153314,117092,30015,2826,3534480,1356332,385551,16182,662958,30,242.60967,208,65647,134369,393,2,30481,34171,8564,5.21892,64,56.11942,14679.40954,6363.01987,2967.54909,137.66154
ARUNACHAL PRADESH,UPPER DIBANG VALLEY 10438,16802,12982,14793,29433,0,9150,442903,79439,0,230478,933,15,328.18463,0,2113,2923,4,10,82,749,0,0.0,0,25.344,745.63993,463.54048,0.88295,3.66686
KARNATAKA,KODAGU 10165,248820,792847,139528,394279,65887,44679,4429157,2507760,281556,62827,973254,33,330.32195,65,83243,99844,320,0,30639,49396,3650,22.29335,80,34.15381,11142.11321,7157.46679,64.2924,99.36751
CHHATTISGARH,MANENDRAGARH CHIRMIRI BHARATPUR 10021,38918,64087,138843,75457,10971,85273,2757565,3414373,203597,1017061,897427,29,236.10788,345,37187,172926,773,4,10794,11141,3229,54.81972,69,59.59549,9730.46765,3738.21254,587.05912,242.19532
GUJARAT,NARMADA PURA,203389,108677,28035,72415,97,15,339383,518278,2847,2605,616948,23,215.00383,18,24655,16797,71,0,7172,9352,5028,48.63076,92,9.3838,960.35246,825.16012,438.38798,100.30589
TAMIL NADU,LOWER SIVAGANGAI,172958,295170,158780,315478,35694,126,8294030,6027719,1510014,141710,7256169,34,250.91155,121,266506,463821,3341,0,32186,4563,1438,87.43041,72,16.86235,13190.98855,17029.39252,618.18713,287.25695
ODISHA,NABARANGAPUR 10317,67530,384294,114479,283464,60020,251027,14013571,1083537,184867,77447,4000439,33,251.0902,2636,23179,98125,237,0,19593,32471,4255,38.67188,50,32.52969,11015.71453,3701.89497,3722.45429,125.1584
GUJARAT,JUNAGADH 10617,132108,66432,319670,161062,5130,1107,4215098,330099,53063,3015,182698,36,239.82305,64,3857,7462,133,37,10549,50571,130,9.56565,71,10.90144,1045.60057,14858.48496,298.32693,75.31554
KARNATAKA,WEST KOLAR,226175,849521,100855,68272,88128,22623,2925811,463312,237483,85189,550429,30,286.62453,211,6484,39605,281,0,22095,62895,2528,69.36989,60,40.06397,25993.82962,3194.32229,3634.73363,133.27609
UTTAR PRADESH,KASHGANJ 11636,179665,462055,79207,216920,89506,505,1422223,5598068,460404,490,669071,29,236.87524,248,57319,98938,502,14,15224,39858,1162,26.82119,35,31.38595,349.61695,5259.34129,4453.93952,69.59886
HARYANA,SONIPAT 10425,36642,72997,53523,123441,43956,0,747845,315323,39086,0,11788,26,367.80606,41,634,3887,91,102,2716,2978,60,11.14171,15,35.58896,3873.84425,181.3575,121.91074,50.64394
HARYANA,WEST FARIDABAD,85952,246705,61482,91915,53029,0,970403,12451,133842,0,204971,19,375.33453,8,594,2426,0,44,3500,1066,226,25.50945,5,20.3774,1099.84343,690.02368,551.71741,34.03691
HIMACHAL PRADESH,SOUTH MANDI,95783,163661,4480,423125,27216,18859,1083549,463490,179935,3926,417463,30,229.04418,117,12539,77791,119,1,25025,22218,1276,18.41812,69,56.7075,188.31838,1053.79865,623.78292,306.31589
ARUNACHAL PRADESH,LOWER LOWER DIBANG VALLEY,11222,18521,21507,20538,0,28660,287137,3689,0,420876,63875,18,231.66556,1,7985,16211,0,16,556,343,124,2.28303,59,41.33577,300.91301,12.76362,355.14437,15.83453
HARYANA,KAITHAL 10453,116225,256886,4126,92778,22638,0,976399,15164,99360,0,44769,30,321.97318,1,619,13698,8,35,800,395,225,24.43511,28,71.6854,1686.00229,716.93686,38.94238,24.11577
MAHARASHTRA,BULDHANA 10545,589744,971162,184393,144149,8067,2680,2536021,443128,188124,149268,78386,44,177.9686,47,8069,46021,115,60,32182,22843,7306,0.07016,97,60.3264,4649.98135,2230.56546,523.26154,109.89716
GUJARAT,SURAT 10087,173227,86506,35282,83575,2117,2456,1599564,298823,20091,8957,49987,49,202.2564,55,11503,7403,511,35,9680,6593,5579,28.94063,41,23.69888,928.94483,305.3224,3096.29239,388.74754
